Ilan_No,Ilan_Yili,Ilce,Brut_Metrekare,Oda_Sayisi,Bina_Yasi,Kat_Sayisi,Bulundugu_Kat,Isitma_Tipi,Site_Icerisinde,Fiyat
372,2025,Kadıköy,90,2,1,5,2,Doğalgaz,Evet,15000000
373,2025,Üsküdar,100,3,3,8,1,Merkezi,Evet,17500000
374,2025,Maltepe,120,3,6,11,3,Doğalgaz,Evet,21000000
375,2025,Ataşehir,140,4,2,9,1,Merkezi,Evet,29500000
376,2025,Şişli,110,3,4,10,4,Doğalgaz,Evet,22000000
377,2025,Kadıköy,120,4,3,8,2,Merkezi,Evet,27000000
378,2025,Üsküdar,140,4,1,11,4,Doğalgaz,Evet,35000000
379,2025,Maltepe,100,3,5,8,3,Merkezi,Evet,19700000
380,2025,Ataşehir,80,2,6,8,2,Doğalgaz,Evet,13500000
381,2025,Şişli,130,4,4,9,3,Merkezi,Evet,24000000
582,2025,Kadıköy,150,4,0,15,5,Doğalgaz,Evet,35000000
383,2025,Üsküdar,120,3,5,10,3,Merkezi,Evet,22500000
384,2025,Maltepe,90,3,2,9,2,Doğalgaz,Evet,16000000
385,2025,Ataşehir,110,3,6,10,2,Merkezi,Evet,22000000
386,2025,Şişli,140,4,2,11,4,Doğalgaz,Evet,31000000
387,2025,Kadıköy,100,2,3,8,2,Merkezi,Evet,18000000
388,2025,Üsküdar,110,3,4,10,3,Doğalgaz,Evet,20500000
389,2025,Maltepe,130,4,1,9,1,Merkezi,Evet,22000000
390,2025,Ataşehir,140,4,0,12,5,Doğalgaz,Evet,36000000
391,2025,Şişli,80,2,6,8,2,Merkezi,Evet,14500000
392,2025,Kadıköy,150,5,2,14,4,Doğalgaz,Evet,42000000
393,2025,Üsküdar,90,2,5,7,1,Merkezi,Evet,17500000
394,2025,Maltepe,110,3,4,9,2,Doğalgaz,Evet,19600000
395,2025,Ataşehir,80,2,7,8,2,Merkezi,Evet,14000000
396,2025,Şişli,130,4,3,11,3,Doğalgaz,Evet,25000000
397,2025,Kadıköy,100,3,0,9,2,Doğalgaz,Evet,18500000
398,2025,Üsküdar,140,4,1,10,3,Merkezi,Evet,36000000
399,2025,Maltepe,120,3,3,8,1,Doğalgaz,Evet,20500000
400,2025,Ataşehir,90,2,6,9,2,Merkezi,Evet,17000000
401,2025,Beşiktaş,120,3,1,6,5,Doğalgaz,Evet,52500000
402,2025,Bakırköy,150,4,3,8,5,Merkezi,Evet,72000000
403,2025,Sarıyer,140,3,2,7,4,Doğalgaz,Evet,68000000
404,2025,Beşiktaş,130,3,5,9,4,Merkezi,Evet,61000000
405,2025,Kadıköy,100,2,10,7,3,Doğalgaz,Evet,24500000
406,2025,Ataşehir,90,3,2,10,3,Merkezi,Evet,22500000
407,2025,Ümraniye,110,3,15,5,2,Doğalgaz,Evet,18000000
408,2025,Esenyurt,80,2,5,7,2,Merkezi,Evet,11500000
409,2025,Pendik,95,3,7,6,1,Doğalgaz,Evet,20000000
410,2025,Tuzla,70,2,8,4,1,Merkezi,Evet,9500000
411,2025,Beşiktaş,115,4,4,5,3,Doğalgaz,Evet,55000000
412,2025,Bakırköy,140,3,12,6,4,Merkezi,Evet,75000000
413,2025,Sarıyer,130,4,6,7,3,Doğalgaz,Evet,69000000
414,2025,Beşiktaş,135,3,1,8,4,Merkezi,Evet,61500000
415,2025,Kadıköy,95,2,0,10,3,Doğalgaz,Evet,28000000
416,2025,Ataşehir,85,3,5,5,2,Merkezi,Evet,22500000
417,2025,Ümraniye,105,3,12,6,2,Doğalgaz,Evet,19000000
418,2025,Esenyurt,70,2,20,5,1,Doğalgaz,Evet,8600000
419,2025,Pendik,90,3,15,7,1,Merkezi,Evet,19500000
420,2025,Tuzla,85,2,12,6,1,Doğalgaz,Evet,8000000
421,2025,Beşiktaş,125,3,1,6,2,Doğalgaz,Evet,52000000
422,2025,Bakırköy,130,4,3,8,4,Merkezi,Evet,74000000
423,2025,Sarıyer,145,4,5,5,3,Doğalgaz,Evet,72000000
424,2025,Beşiktaş,135,3,2,9,3,Merkezi,Evet,60000000
425,2025,Kadıköy,110,3,6,9,2,Doğalgaz,Evet,22000000
426,2025,Ataşehir,100,3,0,10,3,Merkezi,Evet,21500000
427,2025,Ümraniye,120,3,12,7,1,Doğalgaz,Evet,18500000
428,2025,Esenyurt,85,2,10,6,1,Merkezi,Evet,10000000
429,2025,Pendik,95,3,4,5,1,Doğalgaz,Evet,19500000
430,2025,Tuzla,75,2,10,4,1,Merkezi,Evet,7000000
431,2025,Beşiktaş,140,4,3,8,3,Doğalgaz,Evet,70000000
432,2025,Bakırköy,150,4,8,10,4,Merkezi,Evet,78000000
433,2025,Sarıyer,135,4,4,7,3,Doğalgaz,Evet,69000000
434,2025,Beşiktaş,150,4,0,12,5,Merkezi,Evet,75000000
435,2025,Kadıköy,80,2,7,6,2,Doğalgaz,Evet,17000000
436,2025,Ataşehir,90,3,8,5,1,Merkezi,Evet,21000000
437,2025,Ümraniye,105,3,15,6,2,Doğalgaz,Evet,18500000
438,2025,Esenyurt,75,2,20,4,1,Doğalgaz,Evet,8500000
439,2025,Pendik,100,3,3,7,1,Merkezi,Evet,20000000
440,2025,Tuzla,70,2,8,5,1,Doğalgaz,Evet,7500000
441,2025,Beşiktaş,120,3,2,4,2,Doğalgaz,Evet,52000000
442,2025,Bakırköy,140,4,5,9,4,Merkezi,Evet,71000000
443,2025,Sarıyer,155,4,1,10,5,Doğalgaz,Evet,80000000
444,2025,Beşiktaş,135,3,6,7,4,Merkezi,Evet,64500000
445,2025,Kadıköy,90,3,8,9,1,Doğalgaz,Evet,19000000
446,2025,Ataşehir,100,3,3,8,2,Merkezi,Evet,22000000
447,2025,Ümraniye,110,3,10,6,2,Doğalgaz,Evet,17500000
448,2025,Esenyurt,80,2,15,5,1,Merkezi,Evet,9000000
449,2025,Pendik,95,3,10,7,1,Doğalgaz,Evet,21000000
450,2025,Tuzla,75,2,5,4,1,Merkezi,Evet,6500000
451,2025,Beşiktaş,130,3,8,5,3,Doğalgaz,Evet,67000000
452,2025,Bakırköy,150,4,3,9,4,Merkezi,Evet,78000000
453,2025,Sarıyer,140,3,4,7,3,Doğalgaz,Evet,72000000
454,2025,Beşiktaş,128,4,2,8,3,Merkezi,Evet,65000000
455,2025,Kadıköy,95,2,6,9,2,Doğalgaz,Evet,17000000
456,2025,Ataşehir,110,3,5,7,2,Merkezi,Evet,19000000
457,2025,Ümraniye,140,4,12,6,2,Doğalgaz,Evet,20000000
458,2025,Esenyurt,77,2,15,5,1,Doğalgaz,Evet,9100000
459,2025,Pendik,90,3,20,7,1,Merkezi,Evet,17000000
460,2025,Tuzla,60,2,5,4,1,Doğalgaz,Evet,6000000
461,2025,Beşiktaş,120,3,0,5,3,Doğalgaz,Evet,51000000
462,2025,Bakırköy,135,3,1,10,4,Merkezi,Evet,68000000
463,2025,Sarıyer,160,4,2,8,3,Doğalgaz,Evet,84000000
464,2025,Beşiktaş,141,3,0,7,2,Merkezi,Evet,73000000
465,2025,Kadıköy,85,2,6,6,2,Doğalgaz,Evet,16500000
466,2025,Ataşehir,97,2,4,5,1,Merkezi,Evet,17000000
467,2025,Ümraniye,113,3,15,4,2,Doğalgaz,Evet,17500000
468,2025,Esenyurt,72,2,18,5,1,Doğalgaz,Evet,8200000
469,2025,Pendik,92,3,11,6,1,Merkezi,Evet,18000000
470,2025,Tuzla,80,2,3,4,1,Doğalgaz,Evet,7200000
471,2025,Beşiktaş,125,3,9,8,3,Doğalgaz,Evet,59000000
472,2025,Bakırköy,145,4,4,9,4,Merkezi,Evet,74000000
473,2025,Sarıyer,135,3,2,7,3,Doğalgaz,Evet,62000000
474,2025,Beşiktaş,130,3,5,10,5,Merkezi,Evet,65000000
475,2025,Kadıköy,105,3,3,8,2,Doğalgaz,Evet,20000000
476,2025,Ataşehir,90,2,12,7,1,Merkezi,Evet,20000000
477,2025,Ümraniye,120,3,10,6,2,Doğalgaz,Evet,19000000
478,2025,Esenyurt,75,2,20,5,1,Merkezi,Evet,9500000
479,2025,Pendik,100,3,5,7,1,Doğalgaz,Evet,20000000
480,2025,Tuzla,82,2,15,4,1,Merkezi,Evet,6000000
481,2025,Beşiktaş,138,4,1,9,3,Doğalgaz,Evet,70000000
482,2025,Bakırköy,140,3,6,9,2,Merkezi,Evet,71000000
483,2025,Sarıyer,160,5,0,12,5,Doğalgaz,Evet,80000000
484,2025,Beşiktaş,130,3,7,8,4,Merkezi,Evet,63500000
485,2025,Kadıköy,85,2,10,5,4,Doğalgaz,Evet,15500000
486,2025,Ataşehir,80,2,8,7,1,Merkezi,Evet,15000000
487,2025,Ümraniye,125,3,12,4,2,Doğalgaz,Evet,20000000
488,2025,Esenyurt,90,2,15,6,1,Merkezi,Evet,9100000
489,2025,Pendik,85,3,7,5,1,Doğalgaz,Evet,16500000
490,2025,Tuzla,75,2,3,4,1,Merkezi,Evet,7000000
491,2025,Beşiktaş,115,3,1,7,4,Doğalgaz,Evet,62000000
492,2025,Bakırköy,139,4,2,8,3,Merkezi,Evet,73000000
493,2025,Sarıyer,150,4,0,9,4,Doğalgaz,Evet,75000000
494,2025,Beşiktaş,132,3,2,10,4,Merkezi,Evet,65000000
495,2025,Kadıköy,100,3,8,5,2,Doğalgaz,Evet,19000000
496,2025,Ataşehir,110,3,3,6,2,Merkezi,Evet,21500000
497,2025,Ümraniye,95,2,12,4,1,Doğalgaz,Evet,16000000
498,2025,Esenyurt,80,2,20,5,1,Merkezi,Evet,9100000
499,2025,Pendik,88,2,10,6,1,Doğalgaz,Evet,18000000
500,2025,Tuzla,70,2,5,5,1,Merkezi,Evet,6000000
501,2025,Kadıköy,80,2,5,10,5,Doğalgaz,Evet,23500000
502,2025,Beşiktaş,100,3,3,7,4,Merkezi,Evet,35000000
503,2025,Şişli,120,3,8,9,4,Doğalgaz,Evet,29000000
504,2025,Üsküdar,90,2,4,8,3,Merkezi,Evet,22000000
505,2025,Ataşehir,110,3,2,12,6,Doğalgaz,Evet,25000000
506,2025,Ümraniye,95,3,15,6,2,Doğalgaz,Evet,18000000
507,2025,Esenyurt,86,2,7,10,5,Merkezi,Evet,15000000
508,2025,Pendik,95,3,10,4,1,Doğalgaz,Evet,17000000
509,2025,Kadıköy,85,2,1,12,5,Doğalgaz,Evet,22000000
510,2025,Beşiktaş,140,4,3,5,2,Merkezi,Evet,47000000
511,2025,Şişli,115,3,7,9,6,Doğalgaz,Evet,30000000
512,2025,Üsküdar,90,3,6,8,3,Merkezi,Evet,19500000
513,2025,Ataşehir,75,2,4,10,4,Doğalgaz,Evet,21000000
514,2025,Ümraniye,100,3,5,7,3,Doğalgaz,Evet,18500000
515,2025,Esenyurt,70,2,8,5,2,Merkezi,Evet,14500000
516,2025,Pendik,80,2,6,4,1,Doğalgaz,Evet,16000000
517,2025,Kadıköy,120,4,2,11,5,Doğalgaz,Evet,30000000
518,2025,Beşiktaş,130,3,1,7,4,Merkezi,Evet,44000000
519,2025,Şişli,95,2,5,9,3,Doğalgaz,Evet,21000000
520,2025,Üsküdar,110,3,4,8,2,Merkezi,Evet,22000000
521,2025,Ataşehir,140,4,1,3,2,Doğalgaz,Evet,47000000
522,2025,Ümraniye,120,3,3,6,1,Doğalgaz,Evet,18000000
523,2025,Esenyurt,90,2,7,5,3,Merkezi,Evet,15500000
524,2025,Pendik,85,2,4,6,1,Doğalgaz,Evet,15000000
525,2025,Kadıköy,100,3,2,14,6,Doğalgaz,Evet,29000000
526,2025,Beşiktaş,135,4,5,5,3,Merkezi,Evet,51000000
527,2025,Şişli,125,3,8,9,4,Doğalgaz,Evet,32000000
528,2025,Üsküdar,95,3,6,10,4,Merkezi,Evet,23000000
529,2025,Ataşehir,110,2,3,7,1,Doğalgaz,Evet,21000000
530,2025,Ümraniye,100,3,15,6,3,Doğalgaz,Evet,18000000
531,2025,Esenyurt,80,2,10,4,1,Merkezi,Evet,13500000
532,2025,Pendik,90,3,1,12,5,Doğalgaz,Evet,19500000
533,2025,Kadıköy,115,3,2,8,4,Merkezi,Evet,29500000
534,2025,Beşiktaş,100,3,4,9,3,Doğalgaz,Evet,35000000
535,2025,Şişli,130,4,9,5,2,Merkezi,Evet,34000000
536,2025,Üsküdar,120,3,5,8,3,Doğalgaz,Evet,25000000
537,2025,Ataşehir,95,2,7,6,1,Merkezi,Evet,17000000
538,2025,Ümraniye,85,2,12,4,2,Doğalgaz,Evet,16000000
539,2025,Esenyurt,77,2,11,5,3,Merkezi,Evet,14000000
540,2025,Pendik,80,3,3,9,2,Doğalgaz,Evet,17500000
541,2025,Kadıköy,90,2,6,10,5,Doğalgaz,Evet,22000000
542,2025,Beşiktaş,95,2,1,12,5,Merkezi,Evet,34500000
543,2025,Şişli,85,3,4,6,4,Doğalgaz,Evet,21000000
544,2025,Üsküdar,120,4,3,3,2,Doğalgaz,Evet,32000000
545,2025,Ataşehir,130,3,10,8,4,Merkezi,Evet,40000000
546,2025,Ümraniye,110,2,5,7,1,Doğalgaz,Evet,19000000
547,2025,Esenyurt,75,2,8,6,1,Merkezi,Evet,12500000
548,2025,Pendik,90,3,9,4,2,Doğalgaz,Evet,18000000
549,2025,Kadıköy,100,4,1,11,5,Merkezi,Evet,33500000
550,2025,Beşiktaş,120,3,0,6,2,Doğalgaz,Evet,49000000
551,2025,Şişli,110,3,5,8,4,Merkezi,Evet,29000000
552,2025,Üsküdar,105,2,2,10,3,Doğalgaz,Evet,20000000
553,2025,Ataşehir,120,3,6,4,1,Merkezi,Evet,22500000
554,2025,Ümraniye,130,4,1,7,2,Doğalgaz,Evet,20000000
555,2025,Esenyurt,100,3,3,5,1,Merkezi,Evet,15000000
556,2025,Pendik,85,2,15,8,1,Doğalgaz,Evet,16000000
557,2025,Kadıköy,90,2,10,5,4,Merkezi,Evet,22500000
558,2025,Beşiktaş,140,4,4,9,3,Doğalgaz,Evet,72000000
559,2025,Şişli,95,3,7,6,2,Merkezi,Evet,23000000
560,2025,Üsküdar,110,3,5,8,1,Doğalgaz,Evet,20000000
561,2025,Ataşehir,120,2,9,7,4,Merkezi,Evet,21500000
562,2025,Ümraniye,130,4,2,11,3,Doğalgaz,Evet,22500000
563,2025,Esenyurt,80,2,11,6,1,Merkezi,Evet,13500000
564,2025,Pendik,100,3,4,8,3,Doğalgaz,Evet,17000000
565,2025,Kadıköy,135,4,3,5,4,Doğalgaz,Evet,53000000
566,2025,Beşiktaş,120,3,2,10,5,Merkezi,Evet,48000000
567,2025,Şişli,100,4,6,8,2,Merkezi,Evet,30000000
568,2025,Üsküdar,95,3,8,7,4,Doğalgaz,Evet,21000000
569,2025,Ataşehir,90,2,5,9,2,Merkezi,Evet,19000000
570,2025,Ümraniye,100,3,4,8,3,Doğalgaz,Evet,17500000
571,2025,Esenyurt,80,2,10,5,1,Merkezi,Evet,12000000
572,2025,Pendik,85,2,8,6,1,Doğalgaz,Evet,15000000
573,2025,Kadıköy,100,4,3,5,4,Merkezi,Evet,40000000
574,2025,Beşiktaş,110,3,5,8,3,Doğalgaz,Evet,46000000
575,2025,Şişli,120,4,4,9,2,Merkezi,Evet,31000000
576,2025,Üsküdar,90,3,6,10,4,Doğalgaz,Evet,19500000
577,2025,Ataşehir,95,2,2,7,3,Merkezi,Evet,19000000
578,2025,Ümraniye,85,2,4,8,1,Doğalgaz,Evet,18000000
579,2025,Esenyurt,75,2,11,6,1,Merkezi,Evet,13000000
580,2025,Pendik,90,3,0,12,5,Doğalgaz,Evet,20000000
581,2025,Kadıköy,130,4,1,11,4,Merkezi,Evet,39000000
582,2025,Beşiktaş,120,3,5,7,3,Doğalgaz,Evet,45000000
583,2025,Şişli,110,3,2,9,2,Merkezi,Evet,29000000
584,2025,Üsküdar,100,4,3,8,3,Doğalgaz,Evet,25000000
585,2025,Ataşehir,95,2,0,10,2,Merkezi,Evet,21000000
586,2025,Ümraniye,85,2,5,9,1,Doğalgaz,Evet,18000000
587,2025,Esenyurt,70,2,10,5,1,Merkezi,Evet,12000000
588,2025,Pendik,80,3,6,6,2,Doğalgaz,Evet,17000000
589,2025,Kadıköy,120,4,4,9,3,Merkezi,Evet,31000000
590,2025,Beşiktaş,90,3,1,12,5,Doğalgaz,Evet,34000000
591,2025,Şişli,100,3,7,8,4,Merkezi,Evet,22000000
592,2025,Üsküdar,115,3,6,7,3,Doğalgaz,Evet,28000000
593,2025,Ataşehir,110,3,5,10,4,Merkezi,Evet,23000000
594,2025,Ümraniye,125,4,2,5,1,Doğalgaz,Evet,21000000
595,2025,Esenyurt,80,2,11,6,1,Merkezi,Evet,15000000
596,2025,Pendik,90,2,4,8,2,Doğalgaz,Evet,18000000
597,2025,Kadıköy,130,4,1,10,5,Merkezi,Evet,41000000
598,2025,Beşiktaş,120,3,3,9,4,Doğalgaz,Evet,47000000
599,2025,Şişli,100,3,5,5,2,Merkezi,Evet,25000000
600,2025,Üsküdar,90,3,8,6,1,Doğalgaz,Evet,20000000
601,2025,Beşiktaş,150,4,35,6,3,Doğalgaz,Evet,15000000
602,2025,Kadıköy,120,3,31,7,4,Merkezi,Evet,12500000
603,2025,Beşiktaş,130,3,28,5,2,Doğalgaz,Evet,14000000
604,2025,Kadıköy,140,4,32,8,3,Merkezi,Evet,13500000
605,2025,Beşiktaş,160,4,30,5,1,Doğalgaz,Evet,16000000
606,2025,Kadıköy,125,3,30,9,5,Merkezi,Evet,13000000
607,2025,Esenyurt,70,2,1,12,6,Doğalgaz,Evet,6000000
608,2025,Arnavutköy,80,3,0,10,5,Merkezi,Evet,5500000
609,2025,Esenyurt,75,2,2,9,4,Doğalgaz,Evet,6500000
610,2025,Arnavutköy,85,3,1,8,3,Merkezi,Evet,7000000
611,2025,Esenyurt,90,3,0,10,2,Doğalgaz,Evet,8000000
612,2025,Kadıköy,90,2,14,8,4,Doğalgaz,Evet,12500000
613,2025,Beşiktaş,140,4,30,6,2,Merkezi,Evet,14500000
614,2025,Kadıköy,150,4,35,5,3,Doğalgaz,Evet,15500000
615,2025,Esenyurt,76,2,1,9,3,Merkezi,Evet,6200000
616,2025,Arnavutköy,78,2,1,10,5,Doğalgaz,Evet,5000000
617,2025,Esenyurt,82,3,2,9,2,Merkezi,Evet,7800000
618,2025,Arnavutköy,80,3,2,8,4,Doğalgaz,Evet,5900000
619,2025,Kadıköy,130,3,30,9,3,Merkezi,Evet,13500000
620,2025,Beşiktaş,110,2,40,8,4,Doğalgaz,Evet,14500000
621,2025,Kadıköy,150,4,31,6,2,Merkezi,Evet,14000000
622,2025,Esenyurt,95,3,1,10,5,Doğalgaz,Evet,7000000
623,2025,Arnavutköy,90,3,1,9,2,Merkezi,Evet,5500000
624,2025,Esenyurt,80,2,0,12,5,Doğalgaz,Evet,5000000
625,2025,Kadıköy,110,3,32,8,3,Merkezi,Evet,13000000
626,2025,Beşiktaş,160,4,35,6,5,Doğalgaz,Evet,15100000
627,2025,Kadıköy,140,3,30,7,4,Merkezi,Evet,13250000
628,2025,Esenyurt,100,3,1,11,5,Doğalgaz,Evet,7500000
629,2025,Arnavutköy,88,3,0,10,4,Merkezi,Evet,6300000
630,2025,Esenyurt,92,3,2,10,3,Doğalgaz,Evet,6800000
631,2025,Kadıköy,135,4,29,8,6,Merkezi,Evet,14450000
632,2025,Beşiktaş,145,4,30,5,4,Doğalgaz,Evet,15800000
633,2025,Kadıköy,125,3,31,7,3,Merkezi,Evet,12900000
634,2025,Esenyurt,76,2,1,12,6,Doğalgaz,Evet,6000000
635,2025,Arnavutköy,82,3,1,8,2,Merkezi,Evet,5100000
636,2025,Esenyurt,85,2,0,11,4,Doğalgaz,Evet,5000000
637,2025,Kadıköy,120,3,26,9,3,Merkezi,Evet,13400000
638,2025,Beşiktaş,100,3,30,6,2,Doğalgaz,Evet,14800000
639,2025,Kadıköy,135,4,32,7,4,Merkezi,Evet,14000000
640,2025,Esenyurt,90,3,1,10,5,Doğalgaz,Evet,7100000
641,2025,Arnavutköy,88,3,0,9,3,Merkezi,Evet,6800000
642,2025,Esenyurt,80,2,1,12,4,Doğalgaz,Evet,5500000
643,2025,Kadıköy,125,3,35,5,4,Merkezi,Evet,13000000
644,2025,Beşiktaş,95,2,30,8,3,Doğalgaz,Evet,14500000
645,2025,Kadıköy,145,4,28,7,4,Merkezi,Evet,14650000
646,2025,Esenyurt,100,3,0,10,5,Doğalgaz,Evet,7000000
647,2025,Arnavutköy,90,2,1,11,5,Merkezi,Evet,5900000
648,2025,Esenyurt,85,2,2,9,3,Doğalgaz,Evet,6000000
649,2025,Kadıköy,135,4,30,8,3,Merkezi,Evet,13500000
650,2025,Beşiktaş,130,3,32,7,3,Doğalgaz,Evet,14500000
651,2025,Kadıköy,110,3,30,9,4,Merkezi,Evet,12600000
652,2025,Esenyurt,95,3,0,11,5,Doğalgaz,Evet,7000000
653,2025,Arnavutköy,80,2,1,12,4,Merkezi,Evet,5450000
654,2025,Esenyurt,85,2,2,10,5,Doğalgaz,Evet,6200000
655,2025,Kadıköy,125,3,31,8,3,Merkezi,Evet,13400000
656,2025,Beşiktaş,140,4,30,6,2,Doğalgaz,Evet,15000000
657,2025,Kadıköy,130,3,32,7,4,Merkezi,Evet,13850000
658,2025,Esenyurt,100,3,3,9,3,Doğalgaz,Evet,7200000
659,2025,Arnavutköy,88,3,1,10,2,Merkezi,Evet,6000000
660,2025,Esenyurt,90,2,0,11,5,Doğalgaz,Evet,6500000
661,2025,Kadıköy,125,3,3,5,4,Merkezi,Evet,13900000
662,2025,Beşiktaş,150,4,31,6,4,Doğalgaz,Evet,14800000
663,2025,Kadıköy,135,4,34,8,3,Merkezi,Evet,13000000
664,2025,Esenyurt,85,2,1,9,2,Doğalgaz,Evet,5800000
665,2025,Arnavutköy,80,3,1,10,5,Merkezi,Evet,5000000
666,2025,Esenyurt,95,3,2,10,4,Doğalgaz,Evet,6500000
667,2025,Kadıköy,120,4,30,8,3,Merkezi,Evet,13550000
668,2025,Beşiktaş,150,4,35,7,2,Doğalgaz,Evet,15500000
669,2025,Kadıköy,125,3,30,6,3,Merkezi,Evet,13800000
670,2025,Esenyurt,85,2,0,12,5,Doğalgaz,Evet,6400000
671,2025,Arnavutköy,77,2,1,10,3,Merkezi,Evet,5300000
672,2025,Esenyurt,70,2,2,11,4,Doğalgaz,Evet,5000000
673,2025,Kadıköy,120,4,33,7,3,Merkezi,Evet,13700000
674,2025,Beşiktaş,90,2,30,5,4,Doğalgaz,Evet,14600000
675,2025,Kadıköy,135,4,31,6,2,Doğalgaz,Evet,13850000
676,2025,Esenyurt,100,3,3,12,6,Merkezi,Evet,7200000
677,2025,Arnavutköy,88,3,1,10,5,Doğalgaz,Evet,6100000
678,2025,Esenyurt,90,2,0,11,2,Merkezi,Evet,6800000
679,2025,Kadıköy,125,4,30,7,1,Doğalgaz,Evet,13900000
680,2025,Beşiktaş,135,4,33,5,3,Merkezi,Evet,15000000
681,2025,Kadıköy,110,2,32,9,4,Doğalgaz,Evet,12800000
682,2025,Esenyurt,80,2,1,10,5,Merkezi,Evet,5600000
683,2025,Arnavutköy,90,3,1,12,3,Doğalgaz,Evet,6000000
684,2025,Esenyurt,88,3,2,11,4,Merkezi,Evet,6100000
685,2025,Kadıköy,140,4,32,8,3,Doğalgaz,Evet,14500000
686,2025,Beşiktaş,150,4,30,6,2,Merkezi,Evet,15200000
687,2025,Kadıköy,130,3,30,5,4,Doğalgaz,Evet,13700000
688,2025,Esenyurt,90,2,0,10,4,Merkezi,Evet,7000000
689,2025,Arnavutköy,85,3,1,9,2,Doğalgaz,Evet,6200000
690,2025,Esenyurt,95,3,2,10,3,Merkezi,Evet,6900000
691,2025,Kadıköy,125,3,29,6,4,Doğalgaz,Evet,13600000
692,2025,Beşiktaş,135,4,31,7,1,Merkezi,Evet,14900000
693,2025,Kadıköy,110,3,30,9,4,Doğalgaz,Evet,13000000
694,2025,Esenyurt,85,2,4,8,1,Merkezi,Evet,6400000
695,2025,Arnavutköy,90,3,0,12,2,Doğalgaz,Evet,5700000
696,2025,Esenyurt,88,3,1,9,3,Merkezi,Evet,6500000
697,2025,Kadıköy,145,4,32,5,4,Doğalgaz,Evet,14300000
698,2025,Beşiktaş,150,4,30,6,3,Merkezi,Evet,15100000
699,2025,Kadıköy,125,3,30,8,4,Doğalgaz,Evet,13400000
700,2025,Esenyurt,100,3,1,10,2,Merkezi,Evet,7200000
701,2025,Kadıköy,100,3,2,12,8,Doğalgaz,Evet,45000000
702,2025,Şişli,120,4,3,10,9,Doğalgaz,Evet,48000000
703,2025,Beşiktaş,110,3,1,15,11,Doğalgaz,Evet,50000000
704,2025,Ataşehir,90,2,4,10,5,Doğalgaz,Evet,32000000
705,2025,Ümraniye,95,3,20,10,6,Merkezi,Evet,25000000
706,2025,Üsküdar,120,4,5,14,8,Doğalgaz,Evet,40000000
707,2025,Kadıköy,105,3,0,10,7,Doğalgaz,Evet,30000000
708,2025,Şişli,140,4,2,9,6,Doğalgaz,Evet,52000000
709,2025,Beşiktaş,130,3,1,10,8,Doğalgaz,Evet,49000000
710,2025,Ataşehir,115,3,1,11,4,Doğalgaz,Evet,35000000
711,2025,Ümraniye,100,2,15,10,3,Merkezi,Evet,22500000
712,2025,Üsküdar,95,3,6,12,5,Doğalgaz,Evet,26000000
713,2025,Kadıköy,110,3,20,8,7,Doğalgaz,Evet,31000000
714,2025,Şişli,150,5,3,14,9,Doğalgaz,Evet,53000000
715,2025,Beşiktaş,140,4,0,10,5,Doğalgaz,Evet,47000000
716,2025,Ataşehir,125,3,4,15,7,Doğalgaz,Evet,40000000
717,2025,Ümraniye,115,3,1,14,6,Merkezi,Evet,22000000
718,2025,Üsküdar,100,2,2,13,4,Doğalgaz,Evet,27000000
719,2025,Kadıköy,130,4,3,12,9,Doğalgaz,Evet,51000000
720,2025,Şişli,150,5,1,8,4,Doğalgaz,Evet,62500000
721,2025,Beşiktaş,135,4,2,11,10,Doğalgaz,Evet,49000000
722,2025,Ataşehir,120,3,2,10,5,Doğalgaz,Evet,36000000
723,2025,Ümraniye,95,2,25,9,3,Merkezi,Evet,24000000
724,2025,Üsküdar,125,3,4,12,8,Doğalgaz,Evet,30000000
725,2025,Kadıköy,140,4,5,10,8,Doğalgaz,Evet,55000000
726,2025,Şişli,160,5,2,12,9,Doğalgaz,Evet,60000000
727,2025,Beşiktaş,150,4,2,8,3,Doğalgaz,Evet,58000000
728,2025,Ataşehir,100,2,3,15,7,Doğalgaz,Evet,32000000
729,2025,Ümraniye,110,3,0,10,4,Merkezi,Evet,26000000
730,2025,Üsküdar,95,2,1,11,5,Doğalgaz,Evet,21000000
731,2025,Kadıköy,130,4,3,12,8,Doğalgaz,Evet,52000000
732,2025,Şişli,145,4,5,10,6,Doğalgaz,Evet,55000000
733,2025,Beşiktaş,120,3,1,14,7,Doğalgaz,Evet,47000000
734,2025,Ataşehir,140,4,2,10,5,Doğalgaz,Evet,37000000
735,2025,Ümraniye,105,3,1,11,4,Merkezi,Evet,23000000
736,2025,Üsküdar,80,2,1,12,5,Doğalgaz,Evet,20000000
737,2025,Kadıköy,120,4,35,8,9,Doğalgaz,Evet,70000000
738,2025,Şişli,135,3,25,10,5,Doğalgaz,Evet,48000000
739,2025,Beşiktaş,150,5,4,15,8,Doğalgaz,Evet,59000000
740,2025,Ataşehir,110,3,1,10,6,Doğalgaz,Evet,34000000
741,2025,Ümraniye,90,2,22,9,4,Merkezi,Evet,22000000
742,2025,Üsküdar,130,4,3,10,3,Doğalgaz,Evet,32000000
743,2025,Kadıköy,125,4,3,12,6,Doğalgaz,Evet,43000000
744,2025,Şişli,145,4,2,15,11,Doğalgaz,Evet,51000000
745,2025,Beşiktaş,90,2,10,7,5,Doğalgaz,Evet,36000000
746,2025,Ataşehir,110,3,4,13,8,Doğalgaz,Evet,30000000
